course_code,course_title,lecture_hours,lab_hours,credit_units,prerequisites,year,semester,category
CHM 001,Chemistry for Engineers,3,3,4,,1,1,core
MATH 141,Calculus 1,4,0,4,,1,1,core
MATH 025,Discrete Mathematics,3,0,3,,1,1,core
CPE 101,Computer Engineering as a Discipline,1,0,1,,1,1,core
CPE 102,Programming Logic and Design,0,6,2,,1,1,core
CPE 103,Computer System Administration and Troubleshooting,0,3,1,,1,1,core
GEC 001,Understanding the Self,3,0,3,,1,1,core
PE 001,PATHFit 1,2,0,2,,1,1,core
NSTP 001,National Service Training Program 1,3,0,3,,1,1,core
PHYS 111,Calculus-Based Physics,3,3,4,MATH 141,1,2,core
MATH 242,Calculus 2,4,0,4,MATH 141,1,2,core
MATH 022B,Linear Algebra with MATLAB,2,3,3,MATH 141; MATH 025,1,2,core
GEE 001B,Gender and Society,3,0,3,,1,2,core
MATH 027C,Engineering Data Analysis 1,3,0,3,MATH 141,1,2,core
CPE 104,Computer-Aided Drafting,0,3,1,,1,2,core
CPE 105,Object-Oriented Programming,0,6,2,CPE 102,1,2,core
PE 002,PATHFit 2,2,0,2,PE 001,1,2,core
NSTP 002,National Service Training Program 2,3,0,3,NSTP 001,1,2,core
IE 321,Engineering Data Analysis 2,0,3,1,MATH 027C,2,1,core
MATH 021,Differential Equations,3,0,3,MATH 242,2,1,core
CPE 200,Data Structures and Algorithms,0,6,2,CPE 105,2,1,core
GEC 006,Art Appreciation,3,0,3,,2,1,core
GEE 003C,The Entrepreneurial Mind,3,0,3,,2,1,core
CPE 106,Data and Digital Communications,3,0,3,PHYS 111,2,1,core
ECE 201A,Fundamentals of Electronic Circuits,3,3,4,PHYS 111,2,1,core
EE 200D,Fundamentals of Electrical Circuits,3,3,4,PHYS 111,2,1,core
PE 003,PATHFit 3,2,0,2,PE 002,2,1,core
MATH 026B,Numerical Methods,3,0,3,MATH 021; MATH 022B,2,2,core
CPE 202,Database Management System,0,6,2,CPE 200,2,2,core
CPE 203,Logic Circuits and Design,3,3,4,ECE 201A; EE 200D,2,2,core
CPE 204,Computer Engineering Drafting and Design,0,3,1,ECE 201A; EE 200D,2,2,core
CPE 206,Computer Networks 1,2,3,3,CPE 103,2,2,core
CPE 300,Optimization Techniques,3,0,3,MATH 021,2,2,core
GEC 007,"Science, Technology and Society",3,0,3,,2,2,core
CPE 408A,Emerging Technologies 1 in CpE,0,3,1,2nd year standing,2,2,core
PE 004,PATHFit 4,2,0,2,PE 003,2,2,core
CPE 313A,Computer Organization with Assembly Language,1,3,2,CPE 203,3,1,core
CPE 306,Computer Networks 2,2,3,3,CPE 206,3,1,core
ECE 309A,Feedback and Control Systems,3,0,3,MATH 026B,3,1,core
CPE 408B,Emerging Technologies 2 in CpE,0,3,1,CPE 408A,3,1,core
CPE 316,Introduction to HDL,0,3,1,CPE 203,3,1,core
CPE 308,CpE Laws and Professional Practice,2,0,2,3rd year standing,3,1,core
CPE 205A,Software Design 1,2,0,2,CPE 202,3,1,core
GEE 002B,Living in the IT Era,3,0,3,,3,1,core
BOSH 101,Basic Occupational Health and Safety,3,0,3,3rd year standing,3,1,core
GEC 002,Readings in Philippine History,3,0,3,,3,1,core
CPE 318,Computer System Performance Evaluation,0,3,1,IE 321; CPE 313A,3,2,core
CPE 313B,Computer Architecture,1,3,2,CPE 313A,3,2,core
CPE 408C,Emerging Technologies 3 in CpE,0,3,1,CPE 408B,3,2,core
CPE 405B,Microprocessor Systems,3,3,4,CPE 313A,3,2,core
CPE 314,Computer Networks 3,2,3,3,CPE 306,3,2,core
CPE 205B,Software Design 2,1,3,2,CPE 205A,3,2,core
CPE 317,Fundamentals of Mixed Signals and Sensors,3,0,3,ECE 201A,3,2,core
GEC 003,The Contemporary World,3,0,3,,3,2,core
GEC 008,Ethics,3,0,3,,3,2,core
CPE 309,Methods of Research,2,0,2,COE 030; CPE 405B,3,summer,core
CPE 409,Seminars and Field Trips,0,3,1,3rd year standing,3,summer,core
COE 302,Introduction to Intellectual Property,0,3,1,3rd year standing,3,summer,core
CPE 311A,Operating Systems,2,3,3,CPE 313A,3,summer,core
COE 030,Sustainable Development Engineering,1,0,1,CPE 309,3,summer,core
