exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,metadata,,BSARCH Curriculum 2023,,,,,,,,false,,,,source=BSARCH PDF;generatedAt=1777862661920
1,structure,,BSARCH Curriculum 2023,GEC 004,Mathematics in the Modern World,3,0,3,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,GEE 001B,GE Elective 1 - Gender and Society,3,0,3,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,GEC 006,Art Appreciation,3,0,3,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 101,Architectural Design 1,1,3,2,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 111,Theory of Architecture 1,2,3,3,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 131,Architectural Visual Communication 1,1,6,3,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 132,Architectural Visual Communication 2,1,3,2,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,PE 001,Physical Activities Toward Health & Fitness 1 (PATHFit 1),2,0,2,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,NSTP 001,National Service Training Program 1,3,0,3,1,1,false,,,,
1,structure,,BSARCH Curriculum 2023,MATH 016,Solid Mensuration,2,0,2,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,GEE 002B,GE Elective 2 - Living in the IT Era,3,0,3,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 102,Architectural Design 2,1,3,2,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 112,Theory of Architecture 2,2,3,3,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 114,History of Architecture 1,3,0,3,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 113,Architectural Interiors,2,3,3,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 135,Architectural Visual Communication 3,1,6,3,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 134,Architectural Visual Communication 4,1,3,2,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,PE 002,Physical Activities Toward Health & Fitness 2 (PATHFit 2),2,0,2,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,NSTP 002,National Service Training Program 2,3,0,3,1,2,false,,,,
1,structure,,BSARCH Curriculum 2023,MATH 020,Differential and Integral Calculus,3,0,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,GEE 007,GE Elective 3 - Indigenous Creative Crafts,3,0,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,GEC 001,Understanding the Self,3,0,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 201,Architectural Design 3,1,6,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 221,Building Technology 1,3,0,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 225,Building Utilities 1,2,3,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 211,History of Architecture 2,3,0,3,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 235,Architectural Visual Communication 5,1,3,2,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,PE 003,Physical Activities Toward Health & Fitness 3 (PATHFit 3),2,0,2,2,1,false,,,,
1,structure,,BSARCH Curriculum 2023,GEC 002,Readings in Philippine History,3,0,3,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 202,Architectural Design 4,1,6,3,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 222,Building Technology 2,2,3,3,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 203,Tropical Design,2,0,2,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 212,History of Architecture 3,3,0,3,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 226,Building Utilities 2,2,3,3,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,ARSC 223,Statics of Rigid Bodies,3,0,3,2,2,false,,,,
1,structure,,BSARCH Curriculum 2023,SURV 002F1,Surveying,2,3,3,2,2,false,,,,
