exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,units,yearLevel,semester,isElective,relatedCourseCode,trackName,notes
1,metadata,,BS CPE Curriculum 2018,,,,,,,,,generatedAt=1773415331353
1,structure,,BS CPE Curriculum 2018,MATH 018,Calculus 1,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,MATH 025,Discrete Mathematics,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,CHM 001,Chemistry for Engineers,4,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 101,Computer Engineering as a Discipline,1,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 102,Programming Logic and Design,2,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 103,Computer System Administration and Troubleshooting,1,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 104,Computer-Aided Drafting,1,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 001,Understanding the Self,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,PE 101,Physical Education 1,2,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,NSTP 001,National Service Training Program 1,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2018,MATH 019,Calculus 2,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,TECH 101,Introduction to Engineering Entrepreneurship,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,GEM 001,Life and Works of Rizal,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,PHYS 111,Calculus-Based Physics,4,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 105,Object-Oriented Programming,2,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,GEE 001B,Gender and Society,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 006,Art Appreciation,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,PE 102,Physical Education 2,2,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,NSTP 002,National Service Training Program 2,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2018,MATH 021,Differential Equations,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,ECE 201A,Fundamentals of Electronic Circuits,4,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,EE 200D,Fundamentals of Electrical Circuits,4,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 200,Data Structures and Algorithms,2,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 202,Database Management System,2,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,MATH 022B,Linear Algebra with MATLAB,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 004,Mathematics in the Modern World,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEE 002B,Living in the IT Era,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,PE 201,Physical Education 3,2,2,1,false,,,
1,structure,,BS CPE Curriculum 2018,MATH 026B,Numerical Methods,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 203,Logic Circuits and Design,4,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,ECE 308A,Data and Digital Communications,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 204,Computer Engineering Drafting and Design,1,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 205,Software Design,4,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 206,Computer Networks 1,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPEC 202,Cognate/Elective Course 1,3,2,2,true,,,
1,structure,,BS CPE Curriculum 2018,ME 304A,Engineering Economics,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,PE 202,Physical Education 4,2,2,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 300,Optimization Techniques,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 316,Introduction to HDL,1,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,ECE 309A,Feedback and Control Systems,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 317,Fundamentals of Mixed Signals and Sensors,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 306,Computer Networks 2,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPEC 301,Cognate/Elective Course 2,3,3,1,true,,,
1,structure,,BS CPE Curriculum 2018,CPE 023,Engineering Data Analysis,4,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEE 003B,People and the Earth's Ecosystem,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 003,The Contemporary World,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 005,Purposive Communication,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2018,BOSH 101,Basic Occupational Safety and Health,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 309,Methods of Research,2,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 310,Computer Architecture and Organization,4,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 311,Operating Systems,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPEC 302,Cognate/Elective Course 3,3,3,2,true,,,
1,structure,,BS CPE Curriculum 2018,CPE 314,Computer Networks 3,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 008,Ethics,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 318,Computer System Performance Evaluation,1,3,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 410,Introduction to Intellectual Property,1,4,3,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 408,Emerging Technologies in CpE,3,4,3,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 409,Seminars and Field Trips,1,4,3,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 308,CpE Laws and Professional Practice,2,4,3,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 400,Embedded Systems,4,4,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 405,Microprocessors,4,4,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 406,CpE Design 1,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 416,Digital Signal Processing and Application,4,4,1,false,,,
