exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,metadata,,BSEE Curriculum 2023,,,,,,,,false,,,,source=BSEE PDF;generatedAt=1777862661988
1,structure,,BSEE Curriculum 2023,CHM 001,Chemistry for Engineers,3,3,4,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 141,Calculus 1,4,0,4,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 025,Discrete Mathematics,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 111,Introduction to Electrical Engineering,1,0,1,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 131,Engineering Mathematics,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,PE 001,Physical Activities Toward Health and Fitness 1 (PATHFit 1),2,0,2,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,NSTP 001,National Service Training Program 1,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2023,PHYS 111,Calculus-Based Physics,3,3,4,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 242,Calculus 2,4,0,4,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,GEC 004,Mathematics in the Modern World,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,CHM 008,Environmental Science and Engineering,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,GEE 001B,GE Elective 1 - Gender and Society,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,PE 002,Physical Activities Toward Health and Fitness 2 (PATHFit 2),2,0,2,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,NSTP 002,National Service Training Program 2,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 200,Electrical Circuits 1,3,3,4,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 021,Differential Equations,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,GEC 003,The Contemporary World,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,CE 201B,Engineering Mechanics,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,GEE 003C,GE Elective 3 - Entrepreneurial Mind,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,ME 201A,Thermodynamics,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,GEE 002B,G.E. Elective 2 - Living in the IT Era,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,PE 003,Physical Activities Toward Health and Fitness 3 (PATHFit 3),2,0,2,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 022B,Linear Algebra with MATLAB,2,3,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,CPE 102A,Computer Programming,0,3,1,2,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 202,Electrical Circuits 2,3,3,4,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 201,Electromagnetics for EE,3,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 024D,Engineering Mathematics for EE,3,0,3,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,ECE 200A,Electronic Circuits: Devices and Analysis,3,3,4,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,CE 205A,Fundamentals of Deformable Bodies,2,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,CE 309A,Fluid Mechanics,2,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,GEC 008,Ethics,3,0,3,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 026A,Numerical Methods and Analysis,2,3,3,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,MATH 027C,Engineering Data Analysis 1,3,0,3,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,PE 004,Physical Activities Toward Health and Fitness 4 (PATHFit 4),2,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 304,Electrical Machines 1,2,0,2,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 340,Industrial Power Electronics,3,3,4,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,CPE 203,Logic Circuits and Switching Theory,3,3,4,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,ME 304,Engineering Economics,3,0,3,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,IE 321,Engineering Data Analysis 2,0,3,1,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,CHM 007,Materials Science and Engineering,3,0,3,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,GEM 001,Life and Works of Rizal,3,0,3,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,GEC 002,Readings in Philippine History,3,0,3,3,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE ELEC 1,EE Elective 1,3,0,3,3,1,true,,,,
1,structure,,BSEE Curriculum 2023,EE 310,Control Systems Analysis,2,0,2,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 303,Integration Course in Mathematics,2,0,2,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 305,Electrical Machines 2,3,3,4,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 306,Electrical Apparatus and Devices,2,3,3,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 308,Research Methods,0,3,1,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,COE 312,Fundamentals of Intellectual Property,0,3,1,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,GEC 001,Understanding the Self,3,0,3,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 309,"EE Law, Codes and Professional Ethics",2,0,2,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,CPE 405A,Microprocessor Systems,3,3,4,3,2,false,,,,
1,structure,,BSEE Curriculum 2023,CADD 001A,Computer-Aided Drafting,0,3,1,3,2,false,3,,,
1,structure,,BSEE Curriculum 2023,EE ELEC 2,EE Elective 2,3,0,3,3,2,true,,,,
1,structure,,BSEE Curriculum 2023,EE 400,Electrical Standards and Practices,0,3,1,3,3,false,,,,
1,structure,,BSEE Curriculum 2023,EE 430,Management of EE Projects,2,0,2,3,3,false,,,,
1,structure,,BSEE Curriculum 2023,BOSH 101,Basic Occupational Safety and Health,3,0,3,3,3,false,,,,
1,structure,,BSEE Curriculum 2023,ECE 204A,Principles of Electronic Communications,3,0,3,3,3,false,,,,
1,structure,,BSEE Curriculum 2023,EE 410,Electrical Systems and Illumination Engineering Design,3,6,5,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 431,EE Design Project 1,2,3,3,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 432,Instrumentation and Control,2,3,3,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 407,Integration Course in Engineering Sciences,2,0,2,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 415,Power System Analysis,3,3,4,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 416,Power Plant Engineering and Generating Substation Design,0,3,1,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,GEC 005,Purposive Communication,3,0,3,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE 417A,Transmission and Distribution Systems with Substation,2,3,3,4,1,false,,,,
1,structure,,BSEE Curriculum 2023,EE ELEC 3,EE Elective 3,3,0,3,4,1,true,,,,
1,structure,,BSEE Curriculum 2023,EE 312,On-the-Job-Training for EE,0,240,2,4,2,false,5,,,
1,structure,,BSEE Curriculum 2023,GEC 007,"Science, Technology and Society",3,0,3,4,2,false,,,,
1,structure,,BSEE Curriculum 2023,TECH 101A,Technology Entrepreneurship,3,0,3,4,2,false,5,,,
1,structure,,BSEE Curriculum 2023,GEC 006,Art Appreciation,3,0,3,4,2,false,,,,
1,structure,,BSEE Curriculum 2023,EE 414,EE Design Project 2,1,6,3,4,2,false,5,,,
1,structure,,BSEE Curriculum 2023,EE 418,Seminars/Colloquia,0,3,1,4,2,false,5,,,
1,structure,,BSEE Curriculum 2023,EE 419,Integration Course in Electrical Engineering,2,0,2,4,2,false,5,,,
1,elective_track,,BSEE Curriculum 2023,,,,,,,,false,,,Power System Economics,
1,elective_track,,BSEE Curriculum 2023,,,,,,,,false,,,Power System Automation and Renewable Energy,
1,elective_track,,BSEE Curriculum 2023,,,,,,,,false,,,Railway Engineering,
1,elective_track_course,,BSEE Curriculum 2023,PSE 420,Power System Reliability and Planning,3,0,3,3,1,true,,,Power System Economics,
1,elective_track_course,,BSEE Curriculum 2023,PSE 421,Power Quality and Demand Side Management,3,0,3,3,2,true,,,Power System Economics,
1,elective_track_course,,BSEE Curriculum 2023,PSE 422,Power System Market Operation,3,0,3,4,1,true,,,Power System Economics,
1,elective_track_course,,BSEE Curriculum 2023,PSA 422,Renewable Energy Systems Integration,3,0,3,3,1,true,,,Power System Automation and Renewable Energy,
1,elective_track_course,,BSEE Curriculum 2023,PSA 423,Smart Grid Application in Power System,3,0,3,3,2,true,,,Power System Automation and Renewable Energy,
1,elective_track_course,,BSEE Curriculum 2023,PSA 424,Advanced Automation in Distribution System,3,0,3,4,1,true,,,Power System Automation and Renewable Energy,
1,elective_track_course,,BSEE Curriculum 2023,RWE 001,Introduction to Railway Systems and Engineering,3,0,3,3,1,true,,,Railway Engineering,
1,elective_track_course,,BSEE Curriculum 2023,RWE 002A,Railway Management and Governance and Operations,3,0,3,3,2,true,,,Railway Engineering,
1,elective_track_course,,BSEE Curriculum 2023,RWE 003,Railway Power System and Protection,3,0,3,4,1,true,,,Railway Engineering,
1,prerequisite,,BSEE Curriculum 2023,PHYS 111,Calculus-Based Physics,,,4,,,false,,MATH 141,,
1,prerequisite,,BSEE Curriculum 2023,MATH 242,Calculus 2,,,4,,,false,,MATH 141,,
1,prerequisite,,BSEE Curriculum 2023,MATH 242,Calculus 2,,,4,,,false,,MATH 131,,
1,prerequisite,,BSEE Curriculum 2023,PE 002,Physical Activities Toward Health and Fitness 2 (PATHFit 2),,,2,,,false,,PE 001,,
1,prerequisite,,BSEE Curriculum 2023,NSTP 002,National Service Training Program 2,,,3,,,false,,NSTP 001,,
1,prerequisite,,BSEE Curriculum 2023,EE 200,Electrical Circuits 1,,,4,,,false,,PHYS 111,,
1,prerequisite,,BSEE Curriculum 2023,MATH 021,Differential Equations,,,3,,,false,,MATH 242,,
1,prerequisite,,BSEE Curriculum 2023,CE 201B,Engineering Mechanics,,,3,,,false,,PHYS 111,,
1,prerequisite,,BSEE Curriculum 2023,ME 201A,Thermodynamics,,,3,,,false,,CHM 001,,
1,prerequisite,,BSEE Curriculum 2023,ME 201A,Thermodynamics,,,3,,,false,,PHYS 111,,
1,prerequisite,,BSEE Curriculum 2023,PE 003,Physical Activities Toward Health and Fitness 3 (PATHFit 3),,,2,,,false,,PE 002,,
1,prerequisite,,BSEE Curriculum 2023,MATH 022B,Linear Algebra with MATLAB,,,3,,,false,,MATH 242,,
1,prerequisite,,BSEE Curriculum 2023,MATH 022B,Linear Algebra with MATLAB,,,3,,,false,,MATH 025,,
1,prerequisite,,BSEE Curriculum 2023,EE 202,Electrical Circuits 2,,,4,,,false,,EE 200,,
1,prerequisite,,BSEE Curriculum 2023,EE 202,Electrical Circuits 2,,,4,,,false,,MATH 021,,
1,prerequisite,,BSEE Curriculum 2023,EE 201,Electromagnetics for EE,,,2,,,false,,EE 200,,
