curriculum_code,course_code,year_level,semester,is_elective
BS_CPE_2018,CHM 001,1,1,false
BS_CPE_2018,CPE 101,1,1,false
BS_CPE_2018,CPE 102,1,1,false
BS_CPE_2018,CPE 103,1,1,false
BS_CPE_2018,CPE 104,1,1,false
BS_CPE_2018,GEC 001,1,1,false
BS_CPE_2018,MATH 018,1,1,false
BS_CPE_2018,MATH 025,1,1,false
BS_CPE_2018,NSTP 001,1,1,false
BS_CPE_2018,PE 101,1,1,false
BS_CPE_2018,CPE 105,1,2,false
BS_CPE_2018,GEC 006,1,2,false
BS_CPE_2018,GEE 001B,1,2,false
BS_CPE_2018,GEM 001,1,2,false
BS_CPE_2018,MATH 019,1,2,false
BS_CPE_2018,NSTP 002,1,2,false
BS_CPE_2018,PE 102,1,2,false
BS_CPE_2018,PHYS 111,1,2,false
BS_CPE_2018,TECH 101,1,2,false
BS_CPE_2018,CPE 200,2,1,false
BS_CPE_2018,CPE 202,2,1,false
BS_CPE_2018,ECE 201A,2,1,false
BS_CPE_2018,EE 200D,2,1,false
BS_CPE_2018,GEC 004,2,1,false
BS_CPE_2018,GEE 002B,2,1,false
BS_CPE_2018,MATH 021,2,1,false
BS_CPE_2018,MATH 022B,2,1,false
BS_CPE_2018,PE 201,2,1,false
BS_CPE_2018,CPE 203,2,2,false
BS_CPE_2018,CPE 204,2,2,false
BS_CPE_2018,CPE 205,2,2,false
BS_CPE_2018,CPE 206,2,2,false
BS_CPE_2018,CPEC 202,2,2,true
BS_CPE_2018,ECE 308A,2,2,false
BS_CPE_2018,MATH 026B,2,2,false
BS_CPE_2018,ME 304A,2,2,false
BS_CPE_2018,PE 202,2,2,false
BS_CPE_2018,CPE 023,3,1,false
BS_CPE_2018,CPE 300,3,1,false
BS_CPE_2018,CPE 306,3,1,false
BS_CPE_2018,CPE 316,3,1,false
BS_CPE_2018,CPE 317,3,1,false
BS_CPE_2018,CPEC 301,3,1,true
BS_CPE_2018,ECE 309A,3,1,false
BS_CPE_2018,GEC 003,3,1,false
BS_CPE_2018,GEC 005,3,1,false
BS_CPE_2018,GEE 003B,3,1,false
BS_CPE_2018,BOSH 101,3,2,false
BS_CPE_2018,CPE 309,3,2,false
BS_CPE_2018,CPE 310,3,2,false
BS_CPE_2018,CPE 311,3,2,false
BS_CPE_2018,CPE 314,3,2,false
BS_CPE_2018,CPE 318,3,2,false
BS_CPE_2018,CPEC 302,3,2,true
BS_CPE_2018,GEC 008,3,2,false
BS_CPE_2018,CPE 400,4,1,false
BS_CPE_2018,CPE 405,4,1,false
BS_CPE_2018,CPE 406,4,1,false
BS_CPE_2018,CPE 407,4,1,false
BS_CPE_2018,CPE 416,4,1,false
BS_CPE_2018,GEC 002,4,1,false
BS_CPE_2018,GEC 007,4,1,false
BS_CPE_2018,CPE 413,4,2,false
BS_CPE_2018,CPE 414,4,2,false
BS_CPE_2018,CPE 308,3,3,false
BS_CPE_2018,CPE 408,3,3,false
BS_CPE_2018,CPE 409,3,3,false
BS_CPE_2018,CPE 410,3,3,false
BS_CPE_2023,CHM 001,1,1,false
BS_CPE_2023,CPE 101,1,1,false
BS_CPE_2023,CPE 102,1,1,false
