curriculum_code,course_code,prerequisite_course_code
BS_CPE_2018,COE 003,CPE 200
BS_CPE_2018,COE 004,COE 003
BS_CPE_2018,COE 005,COE 004
BS_CPE_2018,CPE 023,MATH 018
BS_CPE_2018,CPE 023,MATH 025
BS_CPE_2018,CPE 105,CPE 102
BS_CPE_2018,CPE 200,CPE 105
BS_CPE_2018,CPE 202,CPE 105
BS_CPE_2018,CPE 203,ECE 201A
BS_CPE_2018,CPE 203,EE 200D
BS_CPE_2018,CPE 204,ECE 201A
BS_CPE_2018,CPE 204,EE 200D
BS_CPE_2018,CPE 205,CPE 200
BS_CPE_2018,CPE 205,CPE 202
BS_CPE_2018,CPE 206,CPE 103
BS_CPE_2018,CPE 207,CPE 206
BS_CPE_2018,CPE 209,CPE 206
BS_CPE_2018,CPE 300,MATH 021
BS_CPE_2018,CPE 306,CPE 206
BS_CPE_2018,CPE 307,CPE 207
BS_CPE_2018,CPE 309,CPE 023
BS_CPE_2018,CPE 309,CPE 300
BS_CPE_2018,CPE 310,CPE 316
BS_CPE_2018,CPE 311,CPE 205
BS_CPE_2018,CPE 312,CPE 307
BS_CPE_2018,CPE 314,CPE 306
BS_CPE_2018,CPE 315,CPE 320
BS_CPE_2018,CPE 316,CPE 203
BS_CPE_2018,CPE 317,ECE 201A
BS_CPE_2018,CPE 318,CPE 023
BS_CPE_2018,CPE 320,CPE 209
BS_CPE_2018,CPE 331A,CPE 203
BS_CPE_2018,CPE 332,CPE 331A
BS_CPE_2018,CPE 343,CPE 332
BS_CPE_2018,CPE 400,CPE 310
BS_CPE_2018,CPE 405,CPE 310
BS_CPE_2018,CPE 406,CPE 309
BS_CPE_2018,CPE 407,CPE 314
BS_CPE_2018,CPE 416,MATH 026B
BS_CPE_2018,ECE 201A,PHYS 111
BS_CPE_2018,ECE 308A,PHYS 111
BS_CPE_2018,ECE 309A,MATH 026B
BS_CPE_2018,EE 200D,PHYS 111
BS_CPE_2018,MATH 019,MATH 018
BS_CPE_2018,MATH 021,MATH 019
BS_CPE_2018,MATH 022B,MATH 019
BS_CPE_2018,MATH 022B,MATH 025
BS_CPE_2018,MATH 026B,MATH 021
BS_CPE_2018,MATH 026B,MATH 022B
BS_CPE_2018,NSTP 002,NSTP 001
BS_CPE_2018,RWE 002A,RWE 001
BS_CPE_2018,RWE 003A,RWE 002A
BS_CPE_2018,TECH 102,ME 304A
BS_CPE_2018,TECH 102,TECH 101
BS_CPE_2018,TECH 103,TECH 102
BS_CPE_2018,TECH 104,TECH 103
BS_CPE_2023,COE 003,CPE 200
BS_CPE_2023,COE 004A,COE 003
BS_CPE_2023,COE 005A,COE 004A
BS_CPE_2023,COE 030,CPE 309
BS_CPE_2023,CPE 105,CPE 102
BS_CPE_2023,CPE 106,PHYS 111
BS_CPE_2023,CPE 200,CPE 105
BS_CPE_2023,CPE 202,CPE 200
BS_CPE_2023,CPE 203,ECE 201A
BS_CPE_2023,CPE 203,EE 200D
BS_CPE_2023,CPE 204,ECE 201A
BS_CPE_2023,CPE 204,EE 200D
BS_CPE_2023,CPE 205A,CPE 202
BS_CPE_2023,CPE 205B,CPE 205A
BS_CPE_2023,CPE 206,CPE 103
BS_CPE_2023,CPE 207A,CPE 206
BS_CPE_2023,CPE 209,CPE 206
BS_CPE_2023,CPE 300,MATH 021
BS_CPE_2023,CPE 306,CPE 206
BS_CPE_2023,CPE 307B,CPE 207A
BS_CPE_2023,CPE 309,COE 030
BS_CPE_2023,CPE 309,CPE 405B
BS_CPE_2023,CPE 311A,CPE 313A
BS_CPE_2023,CPE 312B,CPE 307B
BS_CPE_2023,CPE 313A,CPE 203
BS_CPE_2023,CPE 313B,CPE 313A
